Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
doublecenter-alpha_3-12-n6,538.18,538.18,0.0,944.48
doublecenter-alpha_3-13-n6,697.37,697.37,0.0,1018.29
doublecenter-alpha_3-14-n6,641.11,641.11,0.0,1172.84
doublecenter-alpha_3-15-n6,572.2,572.2,0.0,993.83
doublecenter-alpha_3-16-n6,584.36,584.36,0.0,1111.86
doublecenter-alpha_3-17-n6,621.07,621.07,0.0,949.54
doublecenter-alpha_3-18-n6,598.36,598.36,0.0,1160.69
doublecenter-alpha_3-19-n6,516.41,516.41,0.0,627.70
doublecenter-alpha_3-2-n5,459.02,459.02,0.0,488.24
doublecenter-alpha_3-20-n6,468.9,468.9,0.0,874.80
doublecenter-alpha_3-21-n7,679.82,679.82,0.0,1184.55
doublecenter-alpha_3-22-n7,578.0,578.0,0.0,1356.73
doublecenter-alpha_3-23-n7,625.47,625.47,0.0,1059.87
doublecenter-alpha_3-24-n7,616.9,616.9,0.0,1188.01
doublecenter-alpha_3-25-n7,816.05,816.05,0.0,1279.47
doublecenter-alpha_3-26-n7,529.13,529.13,0.0,964.01
doublecenter-alpha_3-27-n7,561.39,561.39,0.0,555.72
doublecenter-alpha_3-28-n7,654.92,654.92,0.0,1192.07
doublecenter-alpha_3-29-n7,553.98,553.98,0.0,902.68
doublecenter-alpha_3-3-n5,570.1,570.1,0.0,659.28
doublecenter-alpha_3-30-n7,693.4,693.4,0.0,1269.08
doublecenter-alpha_3-31-n8,672.59,671.78,0.0,1119.68
doublecenter-alpha_3-32-n8,635.89,635.89,0.0,638.37
doublecenter-alpha_3-33-n8,605.73,605.73,0.0,1300.98
doublecenter-alpha_3-34-n8,940.09,939.99,0.0,1620.31
doublecenter-alpha_3-35-n8,616.59,616.59,0.0,1112.94
doublecenter-alpha_3-36-n8,749.87,749.87,0.0,1249.82
doublecenter-alpha_3-37-n8,491.17,491.17,0.0,536.73
doublecenter-alpha_3-38-n8,719.56,719.56,0.0,1205.60
doublecenter-alpha_3-39-n8,792.64,792.64,0.0,1738.76
doublecenter-alpha_3-4-n5,461.76,461.76,0.0,1092.41
doublecenter-alpha_3-40-n8,603.65,603.65,0.0,1062.88
doublecenter-alpha_3-41-n9,832.91,832.91,0.0,1793.97
doublecenter-alpha_3-42-n9,815.54,815.54,0.0,926.67
