Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
uniform-alpha_3-9-n5,232.43,232.43,0.0,531.67
doublecenter-108-n175,2396.18,2483.42,16.28, 
doublecenter-110-n175,2505.94,2671.97,9.92, 
doublecenter-116-n250,2769.8,2856.89,18.25, 
doublecenter-17-n375,3720.1,3893.52,63.07, 
doublecenter-18-n375,3423.01,3555.63,62.26, 
doublecenter-2-n250,2692.76,2791.08,17.46, 
doublecenter-8-n500,3849.63,4082.21,151.94, 
doublecenter-9-n500,4253.32,4482.32,155.18, 
doublecenter-alpha_1-103-n175,2402.36,2522.51,10.24, 
doublecenter-alpha_1-107-n175,2169.41,2253.69,11.63, 
doublecenter-alpha_1-116-n250,2770.94,2856.89,16.76, 
doublecenter-alpha_1-14-n375,3702.06,3878.6,58.68, 
doublecenter-alpha_1-14-n500,4169.22,4362.12,155.91, 
doublecenter-alpha_1-3-n250,2665.14,2772.46,19.89, 
doublecenter-alpha_1-4-n375,3440.43,3629.96,59.23, 
doublecenter-alpha_1-6-n500,3784.54,3975.99,145.05, 
doublecenter-alpha_3-101-n175,2110.06,2246.8,15.52, 
doublecenter-alpha_3-104-n175,2395.86,2496.16,5.36, 
doublecenter-alpha_3-111-n250,2771.94,3009.79,14.79, 
doublecenter-alpha_3-12-n500,3978.08,4211.19,154.5, 
doublecenter-alpha_3-13-n375,3602.29,3788.87,57.28, 
doublecenter-alpha_3-2-n375,3516.89,3761.23,113.88, 
doublecenter-alpha_3-3-n250,2662.85,2772.46,17.4, 
doublecenter-alpha_3-8-n500,3848.96,4082.21,152.25, 
singlecenter-102-n175,1731.12,1838.98,10.12, 
singlecenter-106-n175,1841.88,1933.76,5.6, 
singlecenter-11-n375,2467.04,2604.22,55.08, 
singlecenter-111-n250,2014.8,2103.93,16.08, 
singlecenter-113-n250,2074.85,2213.69,14.76, 
singlecenter-13-n375,2527.5,2632.45,57.13, 
singlecenter-14-n500,2870.15,2995.59,144.02, 
singlecenter-7-n500,2926.16,3075.34,145.02, 
singlecenter-alpha_1-102-n175,1731.84,1868.86,15.29, 
singlecenter-alpha_1-109-n175,1772.57,1852.45,4.98, 
singlecenter-alpha_1-111-n250,2013.28,2103.93,15.08, 
singlecenter-alpha_1-12-n375,2624.91,2769.76,57.78, 
singlecenter-alpha_1-14-n500,2872.02,2995.59,130.44, 
singlecenter-alpha_1-15-n375,2634.05,2710.04,60.47, 
singlecenter-alpha_1-7-n250,2056.67,2170.56,15.49, 
singlecenter-alpha_1-8-n500,2811.81,2960.75,136.73, 
singlecenter-alpha_3-102-n175,1731.07,1845.64,9.79, 
singlecenter-alpha_3-109-n175,1772.68,1852.45,4.91, 
singlecenter-alpha_3-120-n250,1999.88,2080.68,15.09, 
singlecenter-alpha_3-13-n375,2526.98,2632.45,57.72, 
singlecenter-alpha_3-17-n375,2361.8,2448.91,59.24, 
singlecenter-alpha_3-7-n500,2928.96,3075.34,144.37, 
singlecenter-alpha_3-8-n250,2135.04,2265.79,17.71, 
singlecenter-alpha_3-8-n500,2815.55,2960.75,135.55, 
uniform-101-n175,1017.61,1040.89,4.26, 
uniform-107-n175,1001.47,1056.48,4.23, 
uniform-11-n375,1443.14,1527.83,49.92, 
uniform-114-n250,1177.47,1228.13,13.13, 
uniform-12-n500,1647.97,1710.09,123.28, 
uniform-14-n500,1665.58,1734.14,119.76, 
uniform-19-n375,1387.51,1491.77,50.61, 
uniform-8-n250,1246.77,1288.31,14.34, 
uniform-alpha_1-104-n175,1008.62,1050.65,4.46, 
uniform-alpha_1-110-n175,987.33,1030.34,4.32, 
uniform-alpha_1-115-n250,1207.87,1244.86,14.06, 
uniform-alpha_1-13-n500,1626.7,1697.86,124.15, 
uniform-alpha_1-14-n375,1415.08,1479.62,49.07, 
uniform-alpha_1-16-n375,1451.74,1503.25,47.95, 
uniform-alpha_1-7-n250,1221.81,1285.29,13.43, 
uniform-alpha_1-7-n500,1645.82,1763.36,123.27, 
uniform-alpha_3-102-n175,1012.9,1061.54,3.96, 
uniform-alpha_3-105-n175,1039.28,1063.42,4.38, 
uniform-alpha_3-14-n500,1664.71,1746.42,114.81, 
uniform-alpha_3-2-n250,1201.04,1270.53,14.16, 
uniform-alpha_3-3-n375,1427.65,1507.74,45.85, 
uniform-alpha_3-4-n375,1450.6,1513.41,50.05, 
uniform-alpha_3-6-n500,1628.46,1740.83,120.44, 
uniform-alpha_3-9-n250,1225.14,1259.23,12.78, 
