Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
doublecenter-alpha_3-13-n6,697.37,359.08,0.03,293.10
doublecenter-alpha_3-14-n6,641.11,575.57,0.05,458.09
doublecenter-alpha_3-15-n6,572.2,432.19,0.00,421.55
doublecenter-alpha_3-16-n6,584.36,489.95,0.00,382.93
doublecenter-alpha_3-17-n6,621.07,428.34,0.00,294.59
doublecenter-alpha_3-18-n6,598.36,579.44,0.00,343.98
doublecenter-alpha_3-19-n6,516.41,206.33,0.04,193.50
doublecenter-alpha_3-2-n5,459.02,167.03,0.03,162.75
doublecenter-alpha_3-20-n6,468.9,388.54,0.04,297.29
doublecenter-alpha_3-21-n7,679.82,493.39,0.04,428.63
doublecenter-alpha_3-22-n7,578.0,432.62,0.04,452.24
doublecenter-alpha_3-23-n7,625.47,488.5,0.01,308.01
doublecenter-alpha_3-24-n7,616.9,513.31,0.01,355.67
doublecenter-alpha_3-25-n7,816.05,569.71,0.01,378.43
doublecenter-alpha_3-26-n7,529.13,454.83,0.01,315.64
doublecenter-alpha_3-27-n7,561.39,280.59,0.00,230.10
doublecenter-alpha_3-28-n7,654.92,457.32,0.00,362.97
doublecenter-alpha_3-29-n7,553.98,439.59,0.00,451.05
doublecenter-alpha_3-3-n5,570.1,190.02,0.01,189.83
doublecenter-alpha_3-30-n7,693.4,511.12,0.01,363.72
doublecenter-alpha_3-31-n8,672.59,522.55,0.02,348.61
doublecenter-alpha_3-32-n8,635.89,483.19,0.01,521.48
doublecenter-alpha_3-33-n8,605.73,439.14,0.01,510.48
doublecenter-alpha_3-34-n8,940.09,670.67,0.01,439.71
doublecenter-alpha_3-35-n8,616.59,539.87,0.01,514.43
doublecenter-alpha_3-36-n8,749.87,552.76,0.00,456.15
doublecenter-alpha_3-37-n8,491.17,388.14,0.00,360.62
doublecenter-alpha_3-38-n8,719.56,549.65,0.01,496.08
doublecenter-alpha_3-39-n8,792.64,552.15,0.00,539.69
doublecenter-alpha_3-4-n5,461.76,398.5,0.00,313.67
doublecenter-alpha_3-40-n8,603.65,472.71,0.02,388.87
doublecenter-alpha_3-41-n9,832.91,653.84,0.03,955.22
doublecenter-alpha_3-42-n9,815.54,473.72,0.01,926.67
doublecenter-alpha_3-43-n9,614.56,519.04,0.04,534.20
doublecenter-alpha_3-44-n9,820.72,643.72,0.01,1296.48
doublecenter-alpha_3-45-n9,566.44,499.21,0.03,550.04
doublecenter-alpha_3-46-n9,573.93,465.99,0.03,592.09
doublecenter-alpha_3-47-n9,725.29,630.25,0.02,687.00
doublecenter-alpha_3-48-n9,526.73,386.3,0.02,471.77
doublecenter-alpha_3-49-n9,453.4,261.09,0.01,564.76
doublecenter-alpha_3-5-n5,563.3,472.64,0.02,293.74
doublecenter-alpha_3-50-n9,596.38,476.67,0.01,642.10
doublecenter-alpha_3-6-n5,459.87,298.06,0.01,226.45
doublecenter-alpha_3-7-n5,541.75,513.89,0.01,449.68
doublecenter-alpha_3-8-n5,710.08,331.01,0.02,250.45
doublecenter-alpha_3-9-n5,617.66,472.01,0.00,432.09
singlecenter-1-n5,281.1,156.76,0.02,156.76
singlecenter-10-n5,250.2,148.74,0.01,140.40
singlecenter-11-n6,266.87,128.01,0.01,117.36
singlecenter-12-n6,254.03,126.38,0.01,125.94
singlecenter-13-n6,379.73,219.93,0.08,216.11
singlecenter-14-n6,287.58,119.24,0.01,119.24
singlecenter-15-n6,267.25,202.09,0.00,177.35
singlecenter-16-n6,252.95,117.84,0.01,117.84
singlecenter-17-n6,543.35,285.38,0.00,263.03
singlecenter-18-n6,451.08,324.66,0.00,259.51
singlecenter-19-n6,298.65,239.8,0.00,204.53
singlecenter-2-n5,301.24,180.24,0.00,140.54
singlecenter-20-n6,230.97,166.58,0.01,122.17
singlecenter-21-n7,373.05,254.36,0.01,231.93
singlecenter-22-n7,361.74,178.38,0.00,200.60
singlecenter-23-n7,158.69,123.26,0.05,138.98
singlecenter-24-n7,297.91,157.5,0.02,168.20
singlecenter-25-n7,357.36,140.03,0.01,139.65
singlecenter-26-n7,199.88,98.77,0.01,109.67
singlecenter-27-n7,288.22,246.64,0.00,220.75
singlecenter-28-n7,326.38,214.45,0.00,186.42
singlecenter-29-n7,360.9,211.69,0.01,212.72
singlecenter-3-n5,107.2,53.07,0.00,52.67
singlecenter-30-n7,302.97,201.16,0.00,204.44
singlecenter-31-n8,262.5,171.86,0.01,204.35
singlecenter-32-n8,186.44,134.01,0.00,151.59
singlecenter-33-n8,354.38,189.97,0.00,197.86
singlecenter-34-n8,410.44,238.35,0.00,287.02
singlecenter-35-n8,338.05,201.3,0.02,338.05
singlecenter-36-n8,394.59,186.66,0.01,222.65
singlecenter-37-n8,268.19,141.05,0.01,190.57
singlecenter-38-n8,508.21,294.88,0.01,464.79
singlecenter-39-n8,343.29,191.8,0.03,233.07
singlecenter-4-n5,247.62,108.94,0.00,108.94
singlecenter-40-n8,375.52,241.66,0.01,243.88
singlecenter-41-n9,237.83,118.31,0.01,209.61
singlecenter-42-n9,566.41,364.2,0.03,680.91
singlecenter-43-n9,355.44,245.67,0.03,552.01
singlecenter-44-n9,368.25,279.8,0.01,379.87
singlecenter-45-n9,410.12,308.7,0.00,440.95
singlecenter-46-n9,384.39,220.7,0.00,262.28
singlecenter-47-n9,472.0,355.38,0.05,534.93
singlecenter-48-n9,361.17,206.63,0.02,239.15
singlecenter-49-n9,506.41,410.3,0.03,504.00
singlecenter-5-n5,248.93,123.01,0.01,122.15
singlecenter-50-n9,367.1,223.29,0.02,374.26
singlecenter-6-n5,354.47,178.34,0.01,162.22
singlecenter-7-n5,227.21,172.86,0.01,133.95
singlecenter-8-n5,152.82,85.35,0.00,81.50
singlecenter-9-n5,248.36,163.53,0.01,143.15
singlecenter-alpha_1-1-n5,281.1,213.31,0.01,213.31
singlecenter-alpha_1-10-n5,250.2,167.81,0.02,167.81
singlecenter-alpha_1-11-n6,266.87,229.71,0.00,229.71
singlecenter-alpha_1-12-n6,254.03,170.44,0.01,170.36
singlecenter-alpha_1-13-n6,379.73,293.28,0.01,293.28
singlecenter-alpha_1-14-n6,287.58,238.48,0.00,238.48
singlecenter-alpha_1-15-n6,267.25,217.06,0.00,217.06
singlecenter-alpha_1-16-n6,252.95,162.42,0.00,158.58
singlecenter-alpha_1-17-n6,543.35,324.64,0.01,307.70
singlecenter-alpha_1-18-n6,451.08,394.04,0.01,338.98
singlecenter-alpha_1-19-n6,298.65,259.37,0.02,259.37
singlecenter-alpha_1-2-n5,301.24,181.53,0.00,181.53
singlecenter-alpha_1-20-n6,230.97,172.52,0.01,172.52
singlecenter-alpha_1-21-n7,373.05,260.98,0.01,363.49
singlecenter-alpha_1-22-n7,361.74,248.79,0.04,267.21
singlecenter-alpha_1-23-n7,158.69,138.98,0.01,138.98
singlecenter-alpha_1-24-n7,297.91,204.09,0.01,247.61
singlecenter-alpha_1-25-n7,357.36,235.47,0.00,253.41
singlecenter-alpha_1-26-n7,199.88,113.28,0.00,114.70
singlecenter-alpha_1-27-n7,288.22,249.85,0.00,286.01
singlecenter-alpha_1-28-n7,326.38,246.38,0.00,249.25
singlecenter-alpha_1-29-n7,360.9,279.01,0.00,307.23
singlecenter-alpha_1-3-n5,107.2,65.25,0.00,65.25
singlecenter-alpha_1-30-n7,302.97,251.39,0.01,242.47
singlecenter-alpha_1-31-n8,262.5,205.3,0.01,223.86
singlecenter-alpha_1-32-n8,186.44,150.77,0.02,179.07
singlecenter-alpha_1-33-n8,354.38,249.89,0.01,291.58
singlecenter-alpha_1-34-n8,410.44,313.53,0.00,423.43
singlecenter-alpha_1-35-n8,338.05,259.11,0.01,368.82
singlecenter-alpha_1-36-n8,394.59,225.22,0.01,311.33
singlecenter-alpha_1-37-n8,268.19,174.72,0.02,298.48
singlecenter-alpha_1-38-n8,508.21,417.44,0.04,515.28
singlecenter-alpha_1-39-n8,343.29,286.05,0.02,355.84
singlecenter-alpha_1-4-n5,247.62,189.62,0.00,189.62
singlecenter-alpha_1-40-n8,375.52,287.3,0.01,326.40
singlecenter-alpha_1-41-n9,237.83,171.87,0.00,296.18
singlecenter-alpha_1-42-n9,566.41,406.51,0.00,670.48
singlecenter-alpha_1-43-n9,355.44,270.15,0.01,341.83
singlecenter-alpha_1-44-n9,368.25,315.13,0.01,391.88
singlecenter-alpha_1-45-n9,410.12,346.82,0.02,390.34
singlecenter-alpha_1-46-n9,384.39,270.09,0.01,415.55
singlecenter-alpha_1-47-n9,472.0,376.06,0.01,581.57
singlecenter-alpha_1-48-n9,361.17,267.58,0.01,343.13
singlecenter-alpha_1-49-n9,506.41,447.51,0.01,588.71
singlecenter-alpha_1-5-n5,248.93,193.48,0.03,193.48
singlecenter-alpha_1-50-n9,367.1,287.18,0.02,376.81
singlecenter-alpha_1-6-n5,354.47,216.85,0.01,216.85
singlecenter-alpha_1-7-n5,227.21,183.43,0.00,180.75
singlecenter-alpha_1-8-n5,152.82,130.86,0.00,130.86
singlecenter-alpha_1-9-n5,248.36,211.45,0.00,211.45
singlecenter-alpha_3-1-n5,281.1,156.76,0.00,156.76
singlecenter-alpha_3-10-n5,250.2,138.48,0.00,103.91
singlecenter-alpha_3-11-n6,266.87,128.01,0.02,99.86
singlecenter-alpha_3-12-n6,254.03,97.01,0.00,97.01
singlecenter-alpha_3-13-n6,379.73,216.0,0.02,155.96
singlecenter-alpha_3-14-n6,287.58,112.72,0.01,104.31
singlecenter-alpha_3-15-n6,267.25,197.85,0.01,141.83
singlecenter-alpha_3-16-n6,252.95,94.17,0.02,93.97
singlecenter-alpha_3-17-n6,543.35,285.38,0.02,210.29
singlecenter-alpha_3-18-n6,451.08,324.66,0.00,199.35
