Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
doublecenter-alpha_3-13-n6,697.37,412.72,0.00,293.10
doublecenter-alpha_3-14-n6,641.11,426.24,0.00,458.09
doublecenter-alpha_3-15-n6,572.2,432.19,0.00,421.55
doublecenter-alpha_3-16-n6,584.36,420.23,0.00,382.93
doublecenter-alpha_3-17-n6,621.07,328.32,0.00,294.59
doublecenter-alpha_3-18-n6,598.36,576.39,0.00,343.98
doublecenter-alpha_3-19-n6,516.41,199.51,0.00,193.50
doublecenter-alpha_3-2-n5,459.02,171.55,0.00,162.75
doublecenter-alpha_3-20-n6,468.9,332.65,0.00,297.29
doublecenter-alpha_3-21-n7,679.82,469.27,0.00,428.63
doublecenter-alpha_3-22-n7,578.0,374.29,0.00,452.24
doublecenter-alpha_3-23-n7,625.47,542.32,0.00,308.01
doublecenter-alpha_3-24-n7,616.9,517.95,0.00,355.67
doublecenter-alpha_3-25-n7,816.05,571.37,0.00,378.43
doublecenter-alpha_3-26-n7,529.13,435.95,0.00,315.64
doublecenter-alpha_3-27-n7,561.39,251.26,0.00,230.10
doublecenter-alpha_3-28-n7,654.92,456.84,0.00,362.97
doublecenter-alpha_3-29-n7,553.98,417.2,0.00,451.05
doublecenter-alpha_3-3-n5,570.1,190.02,0.00,189.83
doublecenter-alpha_3-30-n7,693.4,471.12,0.00,363.72
doublecenter-alpha_3-31-n8,672.59,542.35,0.00,348.61
doublecenter-alpha_3-32-n8,635.89,477.57,0.00,521.48
doublecenter-alpha_3-33-n8,605.73,440.27,0.00,510.48
doublecenter-alpha_3-34-n8,940.09,662.24,0.00,439.71
doublecenter-alpha_3-35-n8,616.59,514.28,0.00,514.43
doublecenter-alpha_3-36-n8,749.87,482.98,0.00,456.15
doublecenter-alpha_3-37-n8,491.17,299.23,0.00,360.62
doublecenter-alpha_3-38-n8,719.56,515.95,0.00,496.08
doublecenter-alpha_3-39-n8,792.64,457.57,0.00,539.69
doublecenter-alpha_3-4-n5,461.76,354.96,0.00,313.67
doublecenter-alpha_3-40-n8,603.65,358.98,0.00,388.87
doublecenter-alpha_3-41-n9,832.91,682.42,0.00,955.22
doublecenter-alpha_3-42-n9,815.54,440.86,0.00,926.67
doublecenter-alpha_3-43-n9,614.56,420.96,0.00,534.20
doublecenter-alpha_3-44-n9,820.72,561.64,0.00,1296.48
doublecenter-alpha_3-45-n9,566.44,450.09,0.00,550.04
doublecenter-alpha_3-46-n9,573.93,481.41,0.00,592.09
doublecenter-alpha_3-47-n9,725.29,646.11,0.00,687.00
doublecenter-alpha_3-48-n9,526.73,372.67,0.00,471.77
doublecenter-alpha_3-49-n9,453.4,248.67,0.00,564.76
doublecenter-alpha_3-5-n5,563.3,293.74,0.00,293.74
doublecenter-alpha_3-50-n9,596.38,400.11,0.00,642.10
doublecenter-alpha_3-6-n5,459.87,294.07,0.00,226.45
doublecenter-alpha_3-7-n5,541.75,487.66,0.00,449.68
doublecenter-alpha_3-8-n5,710.08,259.06,0.00,250.45
doublecenter-alpha_3-9-n5,617.66,454.96,0.00,432.09
singlecenter-1-n5,281.1,156.76,0.00,156.76
singlecenter-10-n5,250.2,150.29,0.00,140.40
singlecenter-11-n6,266.87,130.64,0.00,117.36
singlecenter-12-n6,254.03,153.25,0.00,125.94
singlecenter-13-n6,379.73,217.83,0.00,216.11
singlecenter-14-n6,287.58,119.24,0.00,119.24
singlecenter-15-n6,267.25,175.26,0.00,177.35
singlecenter-16-n6,252.95,156.02,0.00,117.84
singlecenter-17-n6,543.35,285.38,0.00,263.03
singlecenter-18-n6,451.08,301.06,0.00,259.51
singlecenter-19-n6,298.65,190.67,0.00,204.53
singlecenter-2-n5,301.24,161.24,0.00,140.54
singlecenter-20-n6,230.97,159.02,0.00,122.17
singlecenter-21-n7,373.05,213.21,0.00,231.93
singlecenter-22-n7,361.74,195.84,0.00,200.60
singlecenter-23-n7,158.69,122.25,0.00,138.98
singlecenter-24-n7,297.91,201.18,0.00,168.20
singlecenter-25-n7,357.36,130.5,0.00,139.65
singlecenter-26-n7,199.88,98.9,0.00,109.67
singlecenter-27-n7,288.22,250.45,0.00,220.75
singlecenter-28-n7,326.38,213.37,0.00,186.42
singlecenter-29-n7,360.9,217.11,0.00,212.72
singlecenter-3-n5,107.2,58.53,0.00,52.67
singlecenter-30-n7,302.97,179.3,0.00,204.44
singlecenter-31-n8,262.5,158.1,0.00,204.35
singlecenter-32-n8,186.44,138.67,0.00,151.59
singlecenter-33-n8,354.38,178.54,0.00,197.86
singlecenter-34-n8,410.44,311.75,0.00,287.02
singlecenter-35-n8,338.05,228.5,0.00,338.05
singlecenter-36-n8,394.59,200.11,0.00,222.65
singlecenter-37-n8,268.19,158.79,0.00,190.57
singlecenter-38-n8,508.21,331.24,0.00,464.79
singlecenter-39-n8,343.29,198.74,0.00,233.07
singlecenter-4-n5,247.62,109.39,0.00,108.94
singlecenter-40-n8,375.52,238.18,0.00,243.88
singlecenter-41-n9,237.83,129.35,0.00,209.61
singlecenter-42-n9,566.41,374.76,0.00,680.91
singlecenter-43-n9,355.44,251.44,0.00,552.01
singlecenter-44-n9,368.25,283.35,0.00,379.87
singlecenter-45-n9,410.12,315.03,0.00,440.95
singlecenter-46-n9,384.39,242.33,0.00,262.28
singlecenter-47-n9,472.0,347.81,0.00,534.93
singlecenter-48-n9,361.17,222.6,0.00,239.15
singlecenter-49-n9,506.41,409.46,0.00,504.00
singlecenter-5-n5,248.93,123.01,0.00,122.15
singlecenter-50-n9,367.1,230.38,0.00,374.26
singlecenter-6-n5,354.47,190.29,0.00,162.22
singlecenter-7-n5,227.21,137.45,0.00,133.95
singlecenter-8-n5,152.82,81.5,0.00,81.50
singlecenter-9-n5,248.36,159.61,0.00,143.15
singlecenter-alpha_1-1-n5,281.1,222.01,0.00,213.31
singlecenter-alpha_1-10-n5,250.2,167.81,0.00,167.81
singlecenter-alpha_1-11-n6,266.87,229.71,0.00,229.71
singlecenter-alpha_1-12-n6,254.03,170.44,0.00,170.36
singlecenter-alpha_1-13-n6,379.73,293.28,0.00,293.28
singlecenter-alpha_1-14-n6,287.58,238.48,0.00,238.48
singlecenter-alpha_1-15-n6,267.25,217.06,0.00,217.06
singlecenter-alpha_1-16-n6,252.95,158.58,0.00,158.58
singlecenter-alpha_1-17-n6,543.35,356.84,0.00,307.70
singlecenter-alpha_1-18-n6,451.08,394.04,0.00,338.98
singlecenter-alpha_1-19-n6,298.65,259.37,0.00,259.37
singlecenter-alpha_1-2-n5,301.24,181.53,0.00,181.53
singlecenter-alpha_1-20-n6,230.97,172.52,0.00,172.52
singlecenter-alpha_1-21-n7,373.05,261.44,0.00,363.49
singlecenter-alpha_1-22-n7,361.74,253.76,0.00,267.21
singlecenter-alpha_1-23-n7,158.69,137.01,0.00,138.98
singlecenter-alpha_1-24-n7,297.91,213.29,0.00,247.61
singlecenter-alpha_1-25-n7,357.36,235.47,0.00,253.41
singlecenter-alpha_1-26-n7,199.88,114.44,0.00,114.70
singlecenter-alpha_1-27-n7,288.22,278.94,0.00,286.01
singlecenter-alpha_1-28-n7,326.38,251.37,0.00,249.25
singlecenter-alpha_1-29-n7,360.9,291.89,0.00,307.23
singlecenter-alpha_1-3-n5,107.2,66.26,0.00,65.25
singlecenter-alpha_1-30-n7,302.97,252.74,0.00,242.47
singlecenter-alpha_1-31-n8,262.5,220.86,0.00,223.86
singlecenter-alpha_1-32-n8,186.44,162.5,0.00,179.07
singlecenter-alpha_1-33-n8,354.38,249.89,0.00,291.58
singlecenter-alpha_1-34-n8,410.44,346.06,0.00,423.43
singlecenter-alpha_1-35-n8,338.05,259.11,0.00,368.82
singlecenter-alpha_1-36-n8,394.59,266.85,0.00,311.33
singlecenter-alpha_1-37-n8,268.19,179.13,0.00,298.48
singlecenter-alpha_1-38-n8,508.21,419.08,0.00,515.28
singlecenter-alpha_1-39-n8,343.29,286.05,0.00,355.84
singlecenter-alpha_1-4-n5,247.62,189.62,0.00,189.62
singlecenter-alpha_1-40-n8,375.52,287.13,0.00,326.40
singlecenter-alpha_1-41-n9,237.83,186.81,0.00,296.18
singlecenter-alpha_1-42-n9,566.41,437.48,0.00,670.48
singlecenter-alpha_1-43-n9,355.44,281.22,0.00,341.83
singlecenter-alpha_1-44-n9,368.25,326.75,0.00,391.88
singlecenter-alpha_1-45-n9,410.12,365.58,0.00,390.34
singlecenter-alpha_1-46-n9,384.39,265.95,0.00,415.55
singlecenter-alpha_1-47-n9,472.0,365.02,0.00,581.57
singlecenter-alpha_1-48-n9,361.17,270.94,0.00,343.13
singlecenter-alpha_1-49-n9,506.41,483.43,0.00,588.71
singlecenter-alpha_1-5-n5,248.93,193.48,0.00,193.48
singlecenter-alpha_1-50-n9,367.1,320.51,0.00,376.81
