Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD GRASP-VND +  Grafo Aux,Tempo TSPD GRASP-VND + Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_1-4-n5,5,247.62,189.62,0,189.62
singlecenter-alpha_1-5-n5,5,248.93,193.48,0,193.48
singlecenter-alpha_1-6-n5,5,354.47,216.85,0,216.85
singlecenter-alpha_1-7-n5,5,227.21,183.43,0,180.75
singlecenter-alpha_1-8-n5,5,152.82,130.86,0,130.86
singlecenter-alpha_1-9-n5,5,248.36,211.45,0,211.45
singlecenter-alpha_3-1-n5,5,281.1,156.76,0,156.76
singlecenter-alpha_3-10-n5,5,250.2,138.48,0,103.91
singlecenter-alpha_3-2-n5,5,301.24,161.14,0,102.8
singlecenter-alpha_3-3-n5,5,107.2,35.38,0,35.28
singlecenter-alpha_3-4-n5,5,247.62,89.43,0,81.91
singlecenter-alpha_3-5-n5,5,248.93,92.87,0,82
singlecenter-alpha_3-6-n5,5,354.47,148.56,0,129.04
singlecenter-alpha_3-7-n5,5,227.21,172.86,0,130.11
singlecenter-alpha_3-8-n5,5,152.82,78.75,0,61.55
singlecenter-alpha_3-9-n5,5,248.36,122.97,0,99.49
uniform-1-n5,5,313.23,158.65,0,158.65
uniform-10-n5,5,276.29,207.71,0,170.25
uniform-2-n5,5,261.48,199.04,0,199.07
uniform-3-n5,5,258.05,177.26,0,163.41
uniform-4-n5,5,222.94,162.37,0,136.1
uniform-5-n5,5,301.96,202.65,0,237.24
uniform-6-n5,5,262.46,233.97,0,198.76
uniform-7-n5,5,291.8,209.34,0,191.51
uniform-8-n5,5,245.21,128.42,0,154.27
uniform-9-n5,5,232.43,132.11,0,172.15
uniform-alpha_1-1-n5,5,313.23,228.57,0,228.57
uniform-alpha_1-10-n5,5,276.29,221.38,0,221.48
uniform-alpha_1-2-n5,5,261.48,238.84,0,238.84
uniform-alpha_1-3-n5,5,258.05,196.84,0,196.84
uniform-alpha_1-4-n5,5,222.94,191.51,0,191.51
uniform-alpha_1-5-n5,5,301.96,254.94,0,267.29
uniform-alpha_1-6-n5,5,262.46,243.42,0,243.42
uniform-alpha_1-7-n5,5,291.8,231.23,0,231.23
uniform-alpha_1-8-n5,5,245.21,172.6,0,216.29
uniform-alpha_1-9-n5,5,232.43,176.52,0,193.09
uniform-alpha_3-1-n5,5,313.23,158.65,0,158.65
uniform-alpha_3-10-n5,5,276.29,207.71,0,181.5
uniform-alpha_3-2-n5,5,261.48,199.04,0,187.25
uniform-alpha_3-3-n5,5,258.05,174.6,0,159.65
uniform-alpha_3-4-n5,5,222.94,162.37,0,136.1
uniform-alpha_3-5-n5,5,301.96,202.65,0,237.24
uniform-alpha_3-6-n5,5,262.46,233.97,0,175.39
uniform-alpha_3-7-n5,5,291.8,209.34,0,191.29
uniform-alpha_3-8-n5,5,245.21,128.42,0,154.63
uniform-alpha_3-9-n5,5,232.43,132.11,0,157.02
doublecenter-11-n6,6,523.24,248.98,0,301
doublecenter-12-n6,6,538.18,418.91,0,416.25
doublecenter-13-n6,6,697.37,444.83,0,360.04
doublecenter-14-n6,6,641.11,575.57,0,458.09
doublecenter-15-n6,6,572.2,409.73,0,427.28
doublecenter-16-n6,6,584.36,447.77,0,413.09
doublecenter-17-n6,6,621.07,405.7,0,363.67
doublecenter-18-n6,6,598.36,574.61,0,422.5
doublecenter-19-n6,6,516.41,249.45,0,249.45
doublecenter-20-n6,6,468.9,327.86,0,318.07
doublecenter-alpha_1-11-n6,6,523.24,381.23,0,385.68
doublecenter-alpha_1-12-n6,6,538.18,474.18,0.01,471.52
doublecenter-alpha_1-13-n6,6,697.37,504.36,0,504.36
doublecenter-alpha_1-14-n6,6,641.11,592.75,0,592.75
doublecenter-alpha_1-15-n6,6,572.2,492.94,0.01,492.94
doublecenter-alpha_1-16-n6,6,584.36,489.95,0,490.69
doublecenter-alpha_1-17-n6,6,621.07,432.26,0,453.64
doublecenter-alpha_1-18-n6,6,598.36,580.04,0,585.86
doublecenter-alpha_1-19-n6,6,516.41,498.9,0,498.9
doublecenter-alpha_1-20-n6,6,468.9,363.57,0,429.56
doublecenter-alpha_3-11-n6,6,523.24,248.98,0,217.58
doublecenter-alpha_3-12-n6,6,538.18,418.91,0,416.25
doublecenter-alpha_3-13-n6,6,697.37,356.05,0,293.1
doublecenter-alpha_3-14-n6,6,641.11,575.57,0,458.09
doublecenter-alpha_3-15-n6,6,572.2,409.73,0,421.55
doublecenter-alpha_3-16-n6,6,584.36,447.77,0,382.93
doublecenter-alpha_3-17-n6,6,621.07,405.7,0,294.59
doublecenter-alpha_3-18-n6,6,598.36,574.61,0,343.98
doublecenter-alpha_3-19-n6,6,516.41,199.51,0,193.5
doublecenter-alpha_3-20-n6,6,468.9,327.86,0,297.29
singlecenter-11-n6,6,266.87,114.85,0,117.36
singlecenter-12-n6,6,254.03,85.18,0,125.94
singlecenter-13-n6,6,379.73,210.59,0,216.11
singlecenter-14-n6,6,287.58,119.24,0,119.24
singlecenter-15-n6,6,267.25,174.49,0,177.35
singlecenter-16-n6,6,252.95,117.84,0,117.84
singlecenter-17-n6,6,543.35,285.38,0,263.03
singlecenter-18-n6,6,451.08,324.66,0,259.51
singlecenter-19-n6,6,298.65,239.8,0,204.53
singlecenter-20-n6,6,230.97,62.63,0,122.17
singlecenter-alpha_1-11-n6,6,266.87,229.71,0,229.71
singlecenter-alpha_1-12-n6,6,254.03,170.36,0,170.36
singlecenter-alpha_1-13-n6,6,379.73,293.28,0,293.28
singlecenter-alpha_1-14-n6,6,287.58,238.48,0,238.48
singlecenter-alpha_1-15-n6,6,267.25,217.06,0,217.06
singlecenter-alpha_1-16-n6,6,252.95,162.42,0,158.58
singlecenter-alpha_1-17-n6,6,543.35,324.64,0,307.7
singlecenter-alpha_1-18-n6,6,451.08,393.36,0,338.98
singlecenter-alpha_1-19-n6,6,298.65,259.37,0,259.37
singlecenter-alpha_1-20-n6,6,230.97,123.25,0.04,172.52
singlecenter-alpha_3-11-n6,6,266.87,113.49,0,99.86
singlecenter-alpha_3-12-n6,6,254.03,56.79,0,97.01
singlecenter-alpha_3-13-n6,6,379.73,206.66,0,155.96
singlecenter-alpha_3-14-n6,6,287.58,112.72,0,104.31
singlecenter-alpha_3-15-n6,6,267.25,165.18,0,141.83
